1stFlrSF,2ndFlrSF,BedroomAbvGr,BsmtExposure,BsmtFinSF1,BsmtFinType1,BsmtUnfSF,EnclosedPorch,GarageArea,GarageFinish,GarageYrBlt,GrLivArea,KitchenQual,LotArea,LotFrontage,MasVnrArea,OpenPorchSF,OverallCond,OverallQual,TotalBsmtSF,WoodDeckSF,YearBuilt,YearRemodAdd,SalePrice
856,854.0,3.0,No,706,GLQ,150,0.0,548,RFn,2003.0,1710,Gd,8450,65.0,196.0,61,5,7,856,0.0,2003,2003,208500
912,0.0,3.0,No,842,ALQ,70,0.0,336,Unf,1974.0,912,TA,8521,70.0,0.0,0,5,5,912,0.0,1967,1967,125000
1156,866.0,4.0,No,392,BLQ,768,0.0,505,Fin,1977.0,2022,TA,10005,83.0,299.0,117,5,7,1160,288.0,1977,1977,192000
803,0.0,2.0,Av,116,BLQ,604,244.0,360,Unf,1941.0,803,TA,5000,50.0,0.0,0,6,5,720,0.0,1941,1950,87000
1215,0.0,3.0,No,585,Rec,630,0.0,297,Unf,1958.0,1215,TA,12400,66.0,176.0,0,7,6,1215,0.0,1958,1998,155000
1277,0.0,2.0,Gd,778,GLQ,499,0.0,526,Unf,1970.0,1277,TA,10628,85.0,0.0,0,5,7,1277,0.0,1970,1970,167000
1680,0.0,3.0,No,144,LwQ,379,0.0,583,Fin,1998.0,1680,Gd,10140,78.0,0.0,73,5,7,1650,78.0,1998,1999,213250
600,600.0,2.0,No,0,Unf,600,0.0,480,RFn,2004.0,1200,Gd,3182,30.0,0.0,172,5,7,600,0.0,2004,2005,151000
980,0.0,3.0,No,560,BLQ,420,0.0,484,Unf,1986.0,980,TA,7064,71.0,153.0,0,6,5,980,192.0,1977,1977,135000
2444,1872.0,4.0,Gd,1455,GLQ,989,0.0,832,Fin,1994.0,4316,Ex,21535,104.0,1170.0,50,6,10,2444,382.0,1994,1995,755000
1228,0.0,2.0,Mn,767,GLQ,461,0.0,472,Fin,1988.0,1228,Gd,4671,40.0,0.0,120,5,8,1228,168.0,1988,1989,189000
1530,0.0,3.0,Av,1300,GLQ,230,0.0,630,Fin,2004.0,1530,Gd,14572,182.0,0.0,36,5,7,1530,144.0,2004,2004,259000
1168,678.0,3.0,Mn,196,Rec,844,0.0,315,Unf,1949.0,1846,TA,10496,78.0,320.0,0,6,6,1040,0.0,1949,1950,143000
954,0.0,3.0,Av,483,ALQ,428,0.0,576,Unf,1976.0,954,TA,10780,55.0,0.0,0,5,5,911,0.0,1976,1976,132500
1160,448.0,3.0,No,264,BLQ,712,0.0,216,Unf,1925.0,1608,Gd,6171,51.0,0.0,16,6,6,976,147.0,1925,1990,137450
1256,0.0,3.0,No,830,BLQ,136,0.0,276,Fin,1965.0,1256,TA,9937,75.0,0.0,68,6,5,1256,736.0,1965,1965,147500
